year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
2018,Incredibles 2,examples/images/2018_incredibles_2.jpg,226170,608580000,"Animation, Action, Adventure",PG,118,7.6,NA,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
2019,The Lion King,examples/images/2019_the_lion_king.jpg,168828,540080000,"Animation, Adventure, Drama",PG,118,6.9,55,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
2016,Finding Dory,examples/images/2016_finding_dory.jpg,224980,486300000,"Animation, Adventure, Comedy",PG,97,7.3,NA,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
2004,Shrek 2,examples/images/2004_shrek_2.jpg,398797,436470000,"Animation, Adventure, Comedy",PG,93,7.2,NA,Princess Fiona's (Cameron Diaz's) parents invite her and Shrek (Mike Myers) to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.
2019,Toy Story 4,examples/images/2019_toy_story_4.jpg,159927,433030000,"Animation, Adventure, Comedy",G,100,7.8,NA,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
2010,Toy Story 3,examples/images/2010_toy_story_3.jpg,719003,415000000,"Animation, Adventure, Comedy",G,103,8.3,NA,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
2013,Frozen,examples/images/2013_frozen.jpg,545450,400740000,"Animation, Adventure, Comedy",PG,102,7.5,NA,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
2003,Finding Nemo,examples/images/2003_finding_nemo.jpg,903078,380840000,"Animation, Adventure, Comedy",G,100,8.1,NA,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
2016,The Secret Life of Pets,examples/images/2016_the_secret_life_of_pets.jpg,173603,368380000,"Animation, Adventure, Comedy",PG,87,6.5,NA,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
2013,Despicable Me 2,examples/images/2013_despicable_me_2.jpg,355343,368060000,"Animation, Adventure, Comedy",PG,98,7.3,NA,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
2015,Inside Out,examples/images/2015_inside_out.jpg,568186,356460000,"Animation, Adventure, Comedy",PG,95,8.2,NA,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
2016,Zootopia,examples/images/2016_zootopia.jpg,405025,341270000,"Animation, Adventure, Comedy",PG,108,8,NA,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
2015,Minions,examples/images/2015_minions.jpg,202099,336050000,"Animation, Adventure, Comedy",PG,91,6.4,56,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
2007,Shrek the Third,examples/images/2007_shrek_the_third.jpg,266749,320710000,"Animation, Adventure, Comedy",PG,93,6,58,"When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming."
2009,Up,examples/images/2009_up.jpg,883787,293000000,"Animation, Adventure, Comedy",PG,96,8.2,NA,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
2001,"Monsters, Inc.",examples/images/2001_monsters_inc.jpg,772487,289920000,"Animation, Adventure, Comedy",G,92,8,NA,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
